#,EQUIPO,PJ,W,D,L,GOLES,GD,PUNTOS,FORMA
1,Pachuca,5,3,2,0,10:6,4,11,WWDDW
2,Pumas de la UNAM,5,3,2,0,9:5,4,11,WDWDW
3,Chivas de Guadalajara,5,3,1,1,14:8,6,10,LDWWW
4,Querétaro,5,2,3,0,5:2,3,9,WDWDD
5,Club Tijuana,5,3,0,2,7:6,1,9,WWLWL
6,Club León,5,3,0,2,5:9,-4,9,WWWLL
7,Club América,5,2,2,1,6:4,2,8,DDLWW
8,Tigres UANL,5,2,1,2,6:4,2,7,WLLDW
9,Necaxa,5,2,1,2,6:5,1,7,LWWDL
10,Santos Laguna,5,2,1,2,7:10,-3,7,LDWLW
11,Cruz Azul,5,1,3,1,8:6,2,6,DLDDW
12,Toluca,5,1,3,1,6:5,1,6,DLDDW
13,Juárez,5,1,3,1,7:7,0,6,LDDWD
14,Atl. San Luis,5,1,2,2,5:8,-3,5,DWLDL
15,Mazatlán FC,5,1,1,3,7:10,-3,4,LLDLW
16,Atlas,5,0,3,2,2:5,-3,3,DLDDL
17,Monterrey,5,0,2,3,5:8,-3,2,DLLDL
18,Puebla,5,0,2,3,3:6,-3,2,LDLDL
