#,JUGADOR,EQUIPO,GOLES,ASISTENCIAS
1,Geraldino dos Santos,Atl. San Luis,12,0
1,González A.,Guadalajara Chivas,12,0
3,Castaneda K.,Club Tijuana,7,2
4,Juninho,UNAM Pumas,6,3
5,Paulinho,Toluca,6,2
6,Cambindo D.,Club León,6,1
7,Brunetta J.,Tigres UANL,5,4
8,Di Yorio L.,Santos Laguna,5,3
9,Estupiñán O.,Juárez,5,2
9,Paradela J.,Cruz Azul,5,2
11,Bullaude E.,Santos Laguna,5,1
11,Morales R.,UNAM Pumas,5,1
11,Ovalle J.,Mazatlán FC,5,1
11,Ruiz J.,Necaxa,5,1
15,Coronel M.,Querétaro,5,0
15,Univ. Djurdjevic,Monterrey,5,0
15,González A.,Atlas,5,0
15,Rondón S.,Pachuca,5,0
21,Guzmán V.,Pachuca,4,3
21,Palavecino A.,Cruz Azul,4,3
23,Badaloni T.,Necaxa,4,1
24,Guil. Castilho,Juárez,4,0
25,Orellano L.,Monterrey,3,4
